CARB Facility DataLogger,35,1(sec),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Cell1.AC200V_Phi3_Ch1_Current_U,Cell1.AC200V_Phi3_Ch1_Current_V,Cell1.AC200V_Phi3_Ch1_Current_W,Cell1.AC200V_Phi3_Ch1_Power,Cell1.AC200V_Phi3_Ch2_Current_U,Cell1.AC200V_Phi3_Ch2_Current_V,Cell1.AC200V_Phi3_Ch2_Current_W,Cell1.AC200V_Phi3_Ch2_Power,Cell1.AC200V_Phi3_Voltage_U,Cell1.AC200V_Phi3_Voltage_V,Cell1.AC200V_Phi3_Voltage_W,Cell1.AC400V_Phi3_Ch1_Current_U,Cell1.AC400V_Phi3_Ch1_Current_V,Cell1.AC400V_Phi3_Ch1_Current_W,Cell1.AC400V_Phi3_Ch1_Power,Cell1.AC400V_Phi3_Ch2_Current_U,Cell1.AC400V_Phi3_Ch2_Current_V,Cell1.AC400V_Phi3_Ch2_Current_W,Cell1.AC400V_Phi3_Ch2_Power,Cell1.AC400V_Phi3_Voltage_U,Cell1.AC400V_Phi3_Voltage_V,Cell1.AC400V_Phi3_Voltage_W,Cell1.VETS_MonitorSystemState,Cell1.VETS_MonitorTestType,Cell1.VETS_MonitorVehicleManufacturer,Cell1.VETS_MonitorVehicleType,Cell1.VETS_MonitorDynoActive,Cell1.VETS_MonitorDynoSpeed,Cell1.VETS_MonitorTestCellTemperature,Cell1.VETS_MonitorTestCellHumidity,Cell1.VETS_MonitorTestCellPressure,Cell1.VETS_MonitorNumberOfActiveErrors,Cell1.VETS_MonitorTestID,Cell1.VETS_MonitorTestState,Cell1.VETS_MonitorOperatorID,Cell1.VETS_MonitorDriverID
Comment,,AC200 Ch1 Current U,AC200V Ch1 Current V,AC200V Ch1 Current W,AC200V Ch1 Power,AC200V Ch2 Current U,AC200V Ch2 Current V,AC200V Ch2 Current W,AC200V Ch2 Power,AC200V Voltage U,AC200V Voltage V,AC200V Voltage W,AC400V Ch1 Current U,AC400V Ch1 Current V,AC400V Ch1 Current W,AC400V Ch1 Power,AC400V Ch2 Current U,AC400V Ch2 Current V,AC400V Ch2 Current W,AC400V Ch2 Power,AC400V Voltage U,AC400V Voltage V,AV400 Voltage W,System State,Test Type,Vehicle Manufacturer,Vehicle Type,Dyno Active,Dyno Speed,TestCell Temperature,TestCell Humidity,TestCell ressure,Number of Active Errors,Test ID,Test State,Operator ID,Driver ID
Unit,,A,A,A,kW,A,A,A,kW,V,V,V,A,A,A,kW,A,A,A,kW,V,V,V,,,,,,km/h,degC,%,kPa,,,,,
4/11/2018,8:34:56,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:34:57,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:34:58,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:34:59,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:00,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:01,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:05,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:07,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:08,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:09,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:10,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:11,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:12,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:14,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:15,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:16,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:17,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:18,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:27,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:28,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:29,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:30,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:31,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:32,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:33,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:34,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:35,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:36,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:37,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:38,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:39,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:41,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:45,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:47,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:49,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:50,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:51,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:52,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:53,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:54,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0
4/11/2018,8:35:55,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,FALSE,0,0,0,0,0,0,16000,0,0
